category,confidence,title,filename,absolute_path,matched_keywords
DistributedSystems,0.275,"da4cacde7952__Richard D Avila, Imran Ahmad - Architecting AI Software Systems_ Crafting robust and scalable AI systems for modern software development (2025, Packt Publishing) - libgen.li","da4cacde7952__Richard D Avila, Imran Ahmad - Architecting AI Software Systems_ Crafting robust and scalable AI systems for modern software development (2025, Packt Publishing) - libgen.li.pdf","/Users/longtran/Projects/EBooksSorter/current-read-books/da4cacde7952__Richard D Avila, Imran Ahmad - Architecting AI Software Systems_ Crafting robust and scalable AI systems for modern software development (2025, Packt Publishing) - libgen.li.pdf",body:fault tolerance; body:microservices
LLM,1.000,Building LLM Powered Applications,"d73e2ac27b4a__Valentina Alto - Building LLM Powered Applications_ Create intelligent apps and agents with large language models (2024, Packt Publishing) - libgen.li.pdf","/Users/longtran/Projects/EBooksSorter/current-read-books/d73e2ac27b4a__Valentina Alto - Building LLM Powered Applications_ Create intelligent apps and agents with large language models (2024, Packt Publishing) - libgen.li.pdf",body:generative ai; body:llm; body:prompt engineering; filename:llm; metadata:llm; title:llm
LLM,0.946,LLM Workshop (for Raymond Rhine),"e75a4b54d314__Large Language Models The Hard Parts (for Raymond Rhine) (First Early Release) (Tharsis T.P. Souza, Jonathan K. Regenstein, Jr.) (Z-Library).pdf","/Users/longtran/Projects/EBooksSorter/current-read-books/e75a4b54d314__Large Language Models The Hard Parts (for Raymond Rhine) (First Early Release) (Tharsis T.P. Souza, Jonathan K. Regenstein, Jr.) (Z-Library).pdf",body:llm; metadata:llm; title:llm
LLM,0.921,Building AI for Prouction,"8c44191e08fd__Building LLMs for Production Enhancing LLM Abilities and Reliability with Prompting, Fine-Tuning, and RAG (Louis-François Bouchard) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Projects/EBooksSorter/current-read-books/8c44191e08fd__Building LLMs for Production Enhancing LLM Abilities and Reliability with Prompting, Fine-Tuning, and RAG (Louis-François Bouchard) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:agentic; body:generative ai; body:llm; body:prompt engineering; body:rag; filename:llm; filename:rag
LLM,0.508,"4e0710c72332__Maxime Labonne, Paul Iusztin - LLM Engineer's Handbook_ Master the art of engineering large language models from concept to production (2024, Packt Publishing) - libgen.li","4e0710c72332__Maxime Labonne, Paul Iusztin - LLM Engineer's Handbook_ Master the art of engineering large language models from concept to production (2024, Packt Publishing) - libgen.li.pdf","/Users/longtran/Projects/EBooksSorter/current-read-books/4e0710c72332__Maxime Labonne, Paul Iusztin - LLM Engineer's Handbook_ Master the art of engineering large language models from concept to production (2024, Packt Publishing) - libgen.li.pdf",body:llm; body:rag; filename:llm
