confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,DeepLearning,0.288,Neural Networks,"Neural Networks (Ranjodh Singh Dhaliwal, Théo Lepage-Richer etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Neural Networks (Ranjodh Singh Dhaliwal, Théo Lepage-Richer etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:neural network
0.350,DeepLearning,0.300,"Building Transformer Models with Pytorch 2. 0 NLP, computer vision, and speech processing with PyTorch and Hugging Face (Timsina, Prem) (z-library.sk, 1lib.sk, z-lib.sk)","Building Transformer Models with Pytorch 2. 0 NLP, computer vision, and speech processing with PyTorch and Hugging Face (Timsina, Prem) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Building Transformer Models with Pytorch 2. 0 NLP, computer vision, and speech processing with PyTorch and Hugging Face (Timsina, Prem) (z-library.sk, 1lib.sk, z-lib.sk).pdf",filename:transformer; extract_error:ValueError:invalid literal for int() with base 16: b'/T'
0.350,DeepLearning,0.312,Domain-Specific Small Language Models,"Domain-Specific Small Language Models (MEAP, all 15 chapters) (Guglielmo Iozzia) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Domain-Specific Small Language Models (MEAP, all 15 chapters) (Guglielmo Iozzia) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:deep learning; body:neural network; body:transformer
0.350,DeepLearning,0.312,Domain-Specific Small Language Models,"Domain-Specific Small Language Models (welcome.html) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Domain-Specific Small Language Models (welcome.html) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:deep learning; body:neural network; body:transformer
0.350,DeepLearning,0.312,"Neural Networks from Scratch in Python (Harrison Kinsley, Daniel Kukieła) (z-library.sk, 1lib.sk, z-lib.sk)","Neural Networks from Scratch in Python (Harrison Kinsley, Daniel Kukieła) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Neural Networks from Scratch in Python (Harrison Kinsley, Daniel Kukieła) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:backpropagation; body:deep learning; body:neural network
0.350,DeepLearning,0.325,"Graph Neural Networks In Action With Python: A Complete Practitioner's Guide To Building, Scaling, And Deploying Gnn Applications","Graph Neural Networks In Action With Python A Complete Practitioners Guide To Building, Scaling, And Deploying Gnn… (Aarav Joshi) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Graph Neural Networks In Action With Python A Complete Practitioners Guide To Building, Scaling, And Deploying Gnn… (Aarav Joshi) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:convolutional; body:transformer
0.350,DeepLearning,0.325,Hands-On Graph Neural Networks Using Python,"Maxime Labonne - Hands-On Graph Neural Networks Using Python_ Practical techniques and architectures (2023, Packt) - libgen.li.pdf","/Users/longtran/Documents/E-Books/Maxime Labonne - Hands-On Graph Neural Networks Using Python_ Practical techniques and architectures (2023, Packt) - libgen.li.pdf",body:convolutional; body:deep learning
0.350,DeepLearning,0.325,Large Vision-Language Models,"Large Vision-Language Models Pre-training, Prompting, and Applications (Kaiyang Zhou, Ziwei Liu, Peng Gao) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Large Vision-Language Models Pre-training, Prompting, and Applications (Kaiyang Zhou, Ziwei Liu, Peng Gao) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:deep learning; body:neural network
0.350,DeepLearning,0.325,Mastering Transformers: Build State-Of-The-Art Models From Scratch With Advanced Natural Language Processing Techniques,Mastering Transformers _ Build State-of-the-art Models From 2.pdf,/Users/longtran/Documents/E-Books/Mastering Transformers _ Build State-of-the-art Models From 2.pdf,body:deep learning; body:transformer
0.350,DeepLearning,0.325,Mastering Transformers: Build State-Of-The-Art Models From Scratch With Advanced Natural Language Processing Techniques,Mastering Transformers _ Build State-of-the-art Models From.pdf,/Users/longtran/Documents/E-Books/Mastering Transformers _ Build State-of-the-art Models From.pdf,body:deep learning; body:transformer
