confidence_threshold,category,confidence,title,filename,absolute_path,matched_keywords
0.350,ComputerVision,0.238,Computer Arithmetic in Practice; Exercises and Programming; 1,Computer Arithmetic in Practice. Exercises and Programming.pdf,/Users/longtran/Documents/E-Books/Computer Arithmetic in Practice. Exercises and Programming.pdf,body:image processing
0.350,ComputerVision,0.238,Mathematical Objects in C++,Mathematical Objects in C++.pdf,/Users/longtran/Documents/E-Books/Mathematical Objects in C++.pdf,body:image processing
0.350,ComputerVision,0.238,"Robotics, Vision and Control Fundamental Algorithms in Python (3rd ed.) (Peter Corke) (Z-Library)","Robotics, Vision and Control Fundamental Algorithms in Python (3rd ed.) (Peter Corke) (Z-Library).pdf","/Users/longtran/Documents/E-Books/Robotics, Vision and Control Fundamental Algorithms in Python (3rd ed.) (Peter Corke) (Z-Library).pdf",body:image processing
0.350,ComputerVision,0.275,Practical Guide to Applied Conformal Prediction in Python,"Practical Guide to Applied Conformal Prediction in Python _ -- Valeriy Manokhin -- 1 _ converted, 2023 -- Packt Publishing, Limited -- 9781805120919 -- 49b712d2389ad4cd22059deb318157a9 -- Anna’s Archive.pdf","/Users/longtran/Documents/E-Books/Practical Guide to Applied Conformal Prediction in Python _ -- Valeriy Manokhin -- 1 _ converted, 2023 -- Packt Publishing, Limited -- 9781805120919 -- 49b712d2389ad4cd22059deb318157a9 -- Anna’s Archive.pdf",body:computer vision; body:image processing
0.350,ComputerVision,0.288,Build Your Own Robot,"Build Your Own Robot Using Python, CRICKIT, and Raspberry Pi (Marwan Alsabbagh) (Z-Library).pdf","/Users/longtran/Documents/E-Books/Build Your Own Robot Using Python, CRICKIT, and Raspberry Pi (Marwan Alsabbagh) (Z-Library).pdf",body:computer vision
0.350,ComputerVision,0.338,"Transformers for Natural Language Processing and Computer Vision - Third Edition Explore Generative AI and Large Language… (Denis Rothman) (z-library.sk, 1lib.sk, z-lib.sk)","Transformers for Natural Language Processing and Computer Vision - Third Edition Explore Generative AI and Large Language… (Denis Rothman) (z-library.sk, 1lib.sk, z-lib.sk).pdf","/Users/longtran/Documents/E-Books/Transformers for Natural Language Processing and Computer Vision - Third Edition Explore Generative AI and Large Language… (Denis Rothman) (z-library.sk, 1lib.sk, z-lib.sk).pdf",body:computer vision; filename:computer vision
